id,first,second,third,fourth,fifth,sixth,seventh,eight,ninth,tenth
1.0,1.0,5657,4457,397.0,4180,5140,5318,4815,4050,5376
27.0,27.0,5552,5581,5735,1294,4077,4480,5651,3808,3756
28.0,28.0,3881,3360,4353,3812,1238,5539,4742,5304,5557
29.0,29.0,1294,4684,3943,5754,4557,5513,4077,5102,5814
30.0,30.0,5558,5633,1159,5058,4270,5701,5532,4870,5333
31.0,31.0,4203,5607,4848,1294,4034,5131,3867,1042,5668
40.0,40.0,4068,5133,5713,4371,3930,4702,4347,3931,4676
43.0,43.0,5518,5760,766,2352,4968,4171,4972,5346,5442
45.0,45.0,3807,4076,4198,5662,4835,5595,4502,1244,4177
58.0,58.0,4057,4446,4875,5494,5570,5058,1549,5353,5774
59.0,59.0,5239,5381,4057,4329,4677,5509,5733,4963,5531
63.0,63.0,4470,4208,5110,4161,5277,1529,5589,4178,4309
69.0,69.0,4270,5378,2247,5161,3900,5606,5508,4259,5631
71.0,71.0,4438,4442,4979,4597,4744,4206,5801,4454,5296
80.0,80.0,5540,4082,4051,5141,3809,4519,3840,3887,3892
103.0,103.0,4462,4030,4916,4603,5565,5314,4906,5863,4868
124.0,124.0,4632,5570,4741,2447,5447,4975,5621,5649,4066
126.0,126.0,5277,4178,5110,4993,3954,4191,1159,5424,4190
128.0,128.0,3835,4484,5271,5610,4868,3785,4180,5425,3767
129.0,129.0,4834,4591,1456,5029,4100,5424,2025,5304,4078
138.0,138.0,5136,5909,360,5047,5079,5024,3957,4896,4154
157.0,157.0,5860,945,4932,5233,5554,5590,3892,5859,3887
171.0,171.0,3773,5537,5322,5534,5239,5479,5510,3812,4439
177.0,177.0,5811,4198,949,5894,4164,487,4860,5427,4815
179.0,179.0,3900,3922,5509,5134,5606,5301,5262,5435,5724
184.0,184.0,4668,3926,4623,3913,5225,5749,3925,5490,5239
188.0,188.0,3814,3872,5554,766,4972,4048,337,5043,3749
193.0,193.0,1238,4904,4360,4206,5843,5590,4764,3935,3976
208.0,208.0,3932,4005,4977,3929,3854,5334,4347,3886,5741
209.0,209.0,1456,2181,4502,4835,5298,3818,5135,5448,4126
214.0,214.0,5516,5854,4172,2008,4345,4271,4422,4511,4014
215.0,215.0,717,4353,4095,4960,4742,3814,5236,1238,5805
221.0,221.0,487,3480,3762,4574,4168,5393,4713,5120,4919
223.0,223.0,5676,1549,5036,5733,5143,5314,5752,4673,1714
226.0,226.0,5422,5298,5707,2530,4086,4353,5135,4664,4888
247.0,247.0,833,5406,4083,5002,5472,4631,2425,4736,4764
249.0,249.0,4638,1174,766,5735,4350,5442,5439,5125,4635
250.0,250.0,1042,4557,4034,5651,5457,5346,5668,4272,5235
251.0,251.0,5695,5056,4207,4557,3988,2905,4848,4034,4071
288.0,288.0,4029,4178,4188,4434,4741,4105,5277,3853,3811
290.0,1.0,27,28,29,30,31,40,43,45,58
335.0,335.0,5606,5160,5324,4270,5004,4963,5314,5167,4677
336.0,336.0,4931,5322,4093,833,5298,5576,5473,4677,4439
337.0,337.0,4937,5791,4406,5557,4048,5169,3814,918,3897
338.0,338.0,4608,4724,4274,5429,5538,3751,4345,3758,876
345.0,345.0,4091,3876,4831,4849,3827,4833,4839,4017,5890
350.0,350.0,5728,5726,5046,5833,5210,5546,4971,4057,4447
358.0,358.0,4835,4074,3772,4136,4248,4842,4045,1257,5893
360.0,360.0,4676,5136,3957,4896,4672,3900,5047,4285,3480
361.0,361.0,4953,5750,4867,3992,3950,3899,5855,4661,3750
371.0,371.0,5610,481,1557,5473,4835,4136,358,4978,4736
377.0,377.0,5321,4511,1425,475,5854,4425,4512,3957,4044
395.0,395.0,4573,1132,5471,5463,4621,5579,5292,5776,3987
397.0,397.0,5682,5834,5318,5011,4937,4649,5063,4050,5657
400.0,400.0,5031,5529,5509,5120,4001,3915,5469,5314,5505
401.0,401.0,4100,5779,4086,4353,5364,423,5029,5536,3914
403.0,403.0,4470,5068,5698,3853,4066,3796,3352,1377,4178
406.0,406.0,2295,4132,3852,3847,3851,3351,4103,4054,5811
408.0,408.0,4724,338,3971,4608,4183,4094,4275,3822,3759
409.0,409.0,4968,4487,5443,5346,4272,4754,1170,5864,4454
411.0,411.0,5286,3352,5068,5066,5741,5222,4319,5762,4241
414.0,414.0,3765,4708,5761,4748,2447,3802,5222,4961,5249
416.0,416.0,3921,3836,5616,5242,4170,4180,4101,5744,5107
419.0,419.0,4522,5779,4834,4502,4063,4960,3753,5888,4372
420.0,420.0,4161,3765,5222,3962,5210,5741,4632,5752,5068
423.0,423.0,4081,4353,4086,4095,5029,3914,4049,4742,4319
431.0,431.0,4502,401,2025,5628,5507,4875,1624,3747,4247
439.0,439.0,4161,3914,1529,5478,4081,3956,1377,5364,5249
440.0,440.0,3480,4422,3912,5522,3915,5424,3954,5110,4713
475.0,475.0,2901,5813,5610,4427,3767,5854,481,5321,4865
